item_id,platform,thread_id,source_date,query_family,author_hash,author_claimed_role,author_role_confidence,geography,candidate_seniority,red_flag_type,severity,stance,recommended_action,compensating_evidence,firsthand_or_secondhand,conditional_reasoning,brief_excerpt,source_url,coder_1,coder_2,adjudicated_code,notes
HN_5924518,hackernews,5923930,2013-06-22,integrity_focused,199b9a1e4c,engineer,self_claimed,us,any,inflated_skill_duration,2,VERIFY_FIRST,technical_verification,technical_interview,secondhand,no,I think this person misses the point of technical interview. Technical interview is to assert the candidate actually has the skills and experience claimed in the resume. When someb,https://news.ycombinator.com/item?id=5924518,VERIFY_FIRST|technical_verification|sev2,AWAITING_SECOND_CODER,,20yr C++ but fails basics -> interview catches it
HN_6876400,hackernews,6861701,2013-12-09,integrity_focused,4680c9bc8c,engineer_selfclaimed,self_claimed,india,any,fabricated_employment,3,INTEGRITY_HIGH,reject,none,firsthand,no,Well put. I agree with everything you've said. I will say that I've noticed a distributing trend which points to a lack of integrity among some of the Indian programmers coming str,https://news.ycombinator.com/item?id=6876400,INTEGRITY_HIGH|reject|sev3,AWAITING_SECOND_CODER,,"claims lying common; PREJUDICED framing, recorded as stated"
HN_4299160,hackernews,4298100,2012-07-26,integrity_focused,c14ea99166,founder,self_claimed,us,any,none,0,QUALITY_FIRST,work_sample,work_sample,secondhand,no,"An interesting experiment (for a company that actually has a job and is not leading people on) would be to distinguish a job posting that says ""Hiring for this position will be bas",https://news.ycombinator.com/item?id=4299160,QUALITY_FIRST|work_sample|sev0,AWAITING_SECOND_CODER,,work-sample test over 'experience preferred'
HN_43863812,hackernews,43858462,2025-05-01,integrity_focused,195113862f,engineer,self_claimed,eu,any,fabricated_employment,2,VERIFY_FIRST,background_check,consistent_external_history,firsthand,no,"I went couple times through fully remote projects. No in-person interviews, no team gathering during the project work. However, there was a background check done by third party age",https://news.ycombinator.com/item?id=43863812,VERIFY_FIRST|background_check|sev2,AWAITING_SECOND_CODER,,third-party check: education+employment real-or-fake
HN_32999283,hackernews,32996457,2022-09-27,integrity_focused,ba90167e7d,hiring_mgr_selfclaimed,self_claimed,us,any,identity_or_proxy_candidate_fraud,3,VERIFY_FIRST,background_check,references,secondhand,no,"You're getting the person's photo ID for their I-9, and it's simple enough to verify employment history before making an offer. Just ask for a photo ID during the interview process",https://news.ycombinator.com/item?id=32999283,VERIFY_FIRST|background_check|sev3,AWAITING_SECOND_CODER,,verify employment + photo ID before offer
HN_3042064,hackernews,3041981,2011-09-27,integrity_focused,5158805d4c,recruiter_selfclaimed,self_claimed,us,any,fabricated_qualification,2,VERIFY_FIRST,background_check,consistent_external_history,firsthand,no,"There is definitely a need for something like this in the recruiting market, as there are many fake profiles on linkedin (I ran a recruiting thing for a while). But most of the com",https://news.ycombinator.com/item?id=3042064,VERIFY_FIRST|background_check|sev2,AWAITING_SECOND_CODER,,ran recruiting; fake LinkedIn; companies run checks
HN_36887266,hackernews,36863280,2023-07-27,integrity_focused,9e12553407,founder_selfclaimed,self_claimed,us,any,identity_or_proxy_candidate_fraud,4,INTEGRITY_HIGH,technical_verification,technical_interview,firsthand,no,"We ran into the same thing with our new recruiting tool, discovered hundreds of fake applicants for the first remote engineering job we posted. We initially noticed that a large nu",https://news.ycombinator.com/item?id=36887266,INTEGRITY_HIGH|technical_verification|sev4,AWAITING_SECOND_CODER,,post-AI: hundreds of fake/ChatGPT applicants
HN_5806630,hackernews,5805971,2013-06-01,integrity_focused,414026b988,engineer,self_claimed,us,any,none,0,QUALITY_FIRST,work_sample,work_sample,secondhand,no,"Like all other interviewing ""processes"", this is too much overhead. I can tell after talking with someone for 5 minutes whether have the right stuff or not. You can tell by how the",https://news.ycombinator.com/item?id=5806630,QUALITY_FIRST|work_sample|sev0,AWAITING_SECOND_CODER,,resume->interview->work a week to judge
HN_4562445,hackernews,4561533,2012-09-23,integrity_focused,15108754df,recruiter_selfclaimed,self_claimed,us,any,fabricated_employment,3,INTEGRITY_HIGH,background_check,consistent_external_history,firsthand,no,"Even if it was ethically okay, it's more likely to get you rejected for the job than hired, regardless of the lie. Why? HR isn't doing the checking. I did background checks for yea",https://news.ycombinator.com/item?id=4562445,INTEGRITY_HIGH|background_check|sev3,AWAITING_SECOND_CODER,,did background checks for years; a lie usually -> reject
HN_2764115,hackernews,2763182,2011-07-14,quality_first,edfea6b455,hiring_mgr_selfclaimed,self_claimed,us,any,none,0,QUALITY_FIRST,continue_interview,career_description,firsthand,no,"I can tell a good engineer from a bad one, pretty well, using resumes. I am reminded of a cartoon I once saw. It showed a businessperson meeting another in a typical office. The ca",https://news.ycombinator.com/item?id=2764115,QUALITY_FIRST|continue_interview|sev0,AWAITING_SECOND_CODER,,claims can read engineer quality from resume
