item_id,reason_excluded
HN_4315201,"personal anecdote, no hiring decision/rule"
HN_44202622,"macro job-market commentary, not a candidate decision"
HN_47221274,who's-hiring location/skills post
HN_47320624,who's-hiring location/skills post
HN_48117207,who's-hiring location/skills post
HN_47988965,"self-intro, no integrity decision"
HN_8543588,company ad (who's hiring)
HN_18592018,job posting
HN_40900565,resume-tailoring/ATS advice
HN_48442301,"interview-screening complaint, no integrity rule"
HN_28979413,"personal job-search anecdote, no rule"
HN_16043772,"tech-hype debate, not candidate integrity"
HN_42854135,LLM/tech tangent
HN_48495500,LLM model-cost tangent
HN_46124771,"seniority-market commentary, no candidate decision"
HN_1025490,off-topic (gender/workplace)
HN_22376651,off-topic (platform moderation)
