item_id,platform,thread_id,source_date,query_family,stratum,author_claimed_role,geography,red_flag_type,severity,evidence_status,hiring_action,firsthand_or_secondhand,conditional_reasoning,source_url,coder_1,coder_2,adjudicated,notes
HN_5924518,hackernews,5923930,2013-06-22,integrity_focused,hackernews,engineer,us,inflated_skill_duration,2,PROBABLE_CONTRADICTION,VERIFY,secondhand,no,https://news.ycombinator.com/item?id=5924518,PROBABLE_CONTRADICTION|VERIFY|sev2,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_6876400,hackernews,6861701,2013-12-09,integrity_focused,hackernews,engineer_selfclaimed,india,fabricated_employment,3,PROBABLE_CONTRADICTION,BLOCK,firsthand,no,https://news.ycombinator.com/item?id=6876400,PROBABLE_CONTRADICTION|BLOCK|sev3,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_4299160,hackernews,4298100,2012-07-26,integrity_focused,hackernews,founder,us,none,0,CLEAR,CONTINUE,secondhand,no,https://news.ycombinator.com/item?id=4299160,CLEAR|CONTINUE|sev0,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_43863812,hackernews,43858462,2025-05-01,integrity_focused,hackernews,engineer,eu,fabricated_employment,2,PROBABLE_CONTRADICTION,VERIFY,firsthand,no,https://news.ycombinator.com/item?id=43863812,PROBABLE_CONTRADICTION|VERIFY|sev2,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_32999283,hackernews,32996457,2022-09-27,integrity_focused,hackernews,hiring_mgr_selfclaimed,us,identity_or_proxy_candidate_fraud,3,PROBABLE_CONTRADICTION,VERIFY,secondhand,no,https://news.ycombinator.com/item?id=32999283,PROBABLE_CONTRADICTION|VERIFY|sev3,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_3042064,hackernews,3041981,2011-09-27,integrity_focused,hackernews,recruiter_selfclaimed,us,fabricated_qualification,2,PROBABLE_CONTRADICTION,VERIFY,firsthand,no,https://news.ycombinator.com/item?id=3042064,PROBABLE_CONTRADICTION|VERIFY|sev2,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_36887266,hackernews,36863280,2023-07-27,integrity_focused,hackernews,founder_selfclaimed,us,identity_or_proxy_candidate_fraud,4,CONFIRMED_CONTRADICTION,VERIFY,firsthand,no,https://news.ycombinator.com/item?id=36887266,CONFIRMED_CONTRADICTION|VERIFY|sev4,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_5806630,hackernews,5805971,2013-06-01,integrity_focused,hackernews,engineer,us,none,0,CLEAR,CONTINUE,secondhand,no,https://news.ycombinator.com/item?id=5806630,CLEAR|CONTINUE|sev0,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_4562445,hackernews,4561533,2012-09-23,integrity_focused,hackernews,recruiter_selfclaimed,us,fabricated_employment,3,PROBABLE_CONTRADICTION,VERIFY,firsthand,no,https://news.ycombinator.com/item?id=4562445,PROBABLE_CONTRADICTION|VERIFY|sev3,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_2764115,hackernews,2763182,2011-07-14,quality_first,hackernews,hiring_mgr_selfclaimed,us,none,0,CLEAR,CONTINUE,firsthand,no,https://news.ycombinator.com/item?id=2764115,CLEAR|CONTINUE|sev0,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_22228664,hackernews,22225372,2020-02-03,quality_first,hackernews,founder_selfclaimed,us,none,0,CLEAR,CONTINUE,firsthand,no,https://news.ycombinator.com/item?id=22228664,CLEAR|CONTINUE|sev0,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_5442892,hackernews,5440909,2013-03-26,quality_first,hackernews,engineer,us,none,0,CLEAR,CONTINUE,secondhand,no,https://news.ycombinator.com/item?id=5442892,CLEAR|CONTINUE|sev0,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
