item_id,reason_excluded
HN_35139487,child-labor news tangent
HN_17108123,kubernetes-vs-bosh tech debate
HN_32214202,"self-describes experience in an argument, no hiring decision"
HN_48495500,LLM cost tangent
HN_48363436,who's-hiring India post
HN_40179533,rust-vs-x debate
HN_30718758,golang debate
HN_29906607,hardware nostalgia
HN_28462589,nomad tooling
HN_27743544,k8s tooling
HN_9017334,ruby learning anecdote
HN_7770303,internal-tooling anecdote
HN_7695566,slide-to-unlock tangent
HN_7132039,rails rant
HN_5200939,REPL history
HN_46526041,rails hype
HN_46485812,AI-summary of unrelated thread
HN_40018783,unit-test debate
HN_39311900,event-bus debate
HN_39131572,consciousness tangent
HN_38587116,JVM perf debate
HN_35536599,go-vs-java preference
