item_id,reason_included
HN_5924518,clear hiring judgment on resume truth/evidence w/ reasoning
HN_6876400,clear hiring judgment on resume truth/evidence w/ reasoning
HN_4299160,clear hiring judgment on resume truth/evidence w/ reasoning
HN_43863812,clear hiring judgment on resume truth/evidence w/ reasoning
HN_32999283,clear hiring judgment on resume truth/evidence w/ reasoning
HN_3042064,clear hiring judgment on resume truth/evidence w/ reasoning
HN_36887266,clear hiring judgment on resume truth/evidence w/ reasoning
HN_5806630,clear hiring judgment on resume truth/evidence w/ reasoning
HN_4562445,clear hiring judgment on resume truth/evidence w/ reasoning
HN_2764115,clear hiring judgment on resume truth/evidence w/ reasoning
HN_22228664,clear hiring judgment on resume truth/evidence w/ reasoning
HN_5442892,clear hiring judgment on resume truth/evidence w/ reasoning
HN_5070918,clear hiring judgment on resume truth/evidence w/ reasoning
HN_39412664,clear hiring judgment on resume truth/evidence w/ reasoning
HN_39744453,clear hiring judgment on resume truth/evidence w/ reasoning
HN_2246385,clear hiring judgment on resume truth/evidence w/ reasoning
HN_35398004,clear hiring judgment on resume truth/evidence w/ reasoning
HN_35240702,clear hiring judgment on resume truth/evidence w/ reasoning
HN_19062949,clear hiring judgment on resume truth/evidence w/ reasoning
